所述 的 导入 篮 ( 13 ) 在 方导柱 ( 10 ) 上 可作 垂直 运动 。 ||| the introduction of the basket ( 13 ) in the 方导柱 ( 10 ) can be done on the vertical movement .
其中 速 释 部分 含有 1 - 70 % 的 有效成分 , 缓释 部分 含有 30 - 99 % 的 有效成分 , 控制 药物 的 持续 释放 可达 8 - 24 小时 。 ||| where the immediate release portion comprising 1-70 % of the active ingredient , the sustained release portion comprises 30-99 % of the active ingredient , controls a sustained release of a drug may be up to 8-24 hours .
杯 体 组件 ( 1 ) 包含 一个 具有 上下 开口 的 杯 体 ( 13 ) 、 密封 上 开口 的 杯盖 ( 12 ) 、 密封 下 开口 的 导热 底 ( 15 ) 及 安装 于 导热 底 ( 15 ) 上 的 一个 用于 切碎 食物 的 切削 组件 ( 14 ) 。 ||| cup assembly ( 1 ) comprises an upper and lower opening having a cup body ( 13 ) , the sealing of the opening in the lid ( 12 ) , sealing the lower opening of the thermally conductive bottom ( 15 ) and is mounted to the thermally conductive bottom ( 15 ) for chopping food on one of the cutting assembly ( 14 ) .
该 机器 可 制作 熟食 , 也 可作 碎 食 机 用 , ||| the machine may make deli may also be made with crushed food machine ,
其 作用 机制 主要 是 阻断 HIV - 1 病毒 与 靶细胞 结合 , 从而 阻断 其 感染 。 同时 对于 CD4 依赖 与非 依赖型 的 HIV - 1 感染 , 木质素 磺酸盐 都 有 明显 的 抑制 效果 。 ||| a mechanism of action which is essentially blocking hiv-1 virus to target cells bind so that it blocks infection . at the same time for the cd4- dependent and independent of the hiv-1 infection , lignin sulfonates have a significant inhibitory effect .
所述 的 吲哚 -2,3- 二 酮 为 天然 产物 或 人工合成 产品 , 其 毒性 低 , 副作用 小 , 具有 良好 的 改善 生 精 障碍 、 促进 生育 的 作用 。 ||| the indole-2 , 3- dione is from natural products or synthetic products having low toxicity and adverse side effects are small , have good improves the sperm fertility disorders , promoting the action .
一种 穴位 注射剂 , 其 组成 成分 包括 苯酚 在 常温下 的 饱和溶液 和 生理盐水 , 上述 成分 的 混合 比例 为 0.5 — 2 : 100 。 ||| a meridian point injection , which composition comprises a phenol at ambient temperature and a saturated solution of physiological saline , the above ingredients are mixed in a ratio of 0.5-2 : 100 .
只 需 抽出 拉线 ( 12 ) 即可 解脱 相应 的 缝线 ( 11 ) , 进而 将 带 分支 的 术 中 支架 释放 定位 在 带 分支 的 血管 如 主动脉弓 中 , 并 在 撤出 输送 装置 后 将 切口 缝合 即可 。 ||| need only be drawn out of the wire ( 12 ) can release the corresponding suture ( 11 ) , which sends a branched intra- operatively stent release strip is positioned in a blood vessel such as the branch in the aortic arch and upon withdrawal of the delivery device , the incision is sutured after it .
盖板 绕 该 转轴 组件 转动 掀开 盖板 或 座圈 。 ||| the cover plate to rotate about the shaft assembly rotates open the cover or race .
所述 的 速 释 — — 缓释 制剂 是 片剂 、 胶囊剂 或 混悬剂 。 ||| the immediate release , delayed release formulation is a tablet , a capsule or a suspension .
前后脚 连杆 包括 钢管 以及 套接 在 钢管 外围 的 塑料套 管 ; 后 椅子 脚 镶 件 的 两 纵向 管 的 一端 插入 塑料 靠背 ; ||| 前后脚 link includes a tubular steel and steel pipe engaged around the periphery of the chair foot ; a plastic sleeve after the two longitudinal inserts one end of the tube is inserted into the plastic back ;
a : 获取 所述 呼吸机 的 空气 比例阀 和 氧气 比例阀 的 开 度 与 流速 的 关系 ; ||| a : acquiring ventilator air of the proportional valve and oxygen gas with the flow rate of the proportioning valve opening degree relationship ;
该 注射剂 能 激发 穴位 原本 具有 的 功能 , 使 其 强化 , 增强 疗效 , 达到 治愈 疾病 的 目的 。 ||| otherwise the injections can stimulate the acupuncture point , so that it has the function of reinforcing , enhance efficacy , up to cure the disease object .
